name,market_name,cb_link,short_description,dollars_raised_m,archive
Plenty,"""Agriculture, forestry, fishing, hunting""",https://www.crunchbase.com/organization/see-jane-farm,grows crops in indoor farms,940,
Inari,"""Agriculture, forestry, fishing, hunting""",https://www.crunchbase.com/organization/inari-8d6b,creates gene-edited seeds,500,
Better Place Forests,"""Forestry, fishing, and related activities""",https://www.crunchbase.com/organization/better-place-forests,reforests areas for cremation as an alternative to cemeteries,79,
Mombak,"""Forestry, fishing, and related activities""",https://www.crunchbase.com/organization/mombak,mints carbon credits by reforesting the Amazon,67,
KoBold Metals,"""Mining, except oil and gas""",https://www.crunchbase.com/organization/kobold-metals/,develops prospecting tech to search for cobalt ore,407,
Lilac Solutions,"""Mining, except oil and gas""",https://www.crunchbase.com/organization/lilac-solutions,uses ion exchange technology to extract lithium from brine,224,
Commonwealth Fusion Systems,Energy: Base load generation,https://www.crunchbase.com/organization/commonwealth-fusion-systems,is developing fusion reactors,2000,
Viridi Energy,Energy: Base load generation,https://www.crunchbase.com/organization/viridi-energy,is building a renewable natural gas platform,320,
Spruce Finance,Energy: Solar and wind,https://www.crunchbase.com/organization/spruce-finance-inc,provides financing for solar and other home efficiency improvements,508,
Lancium,Energy: Solar and wind,https://www.crunchbase.com/organization/lancium-technologies,creates data centers co-located with renewables,150,
Ascend Elements,Energy: Battery Storage,https://www.crunchbase.com/organization/ascend-elements,recycles li-ion batteries,1500,
Sila Nanotechnologies,Energy: Battery Storage,https://www.crunchbase.com/organization/sila-nanotechnologies,makes high energy density Li-Ion batteries for EVs,981,
Veir,Electricity: Transmission Construction,https://www.crunchbase.com/organization/veir,develops high-temperature superconductors,37,
TS Conductor,Electricity: Transmission Construction,https://www.crunchbase.com/organization/ts-conductor,makes materials for transmission lines that doubles their capacity,25,
ICON,Housing construction,https://www.crunchbase.com/organization/icon3d,3D prints houses,451,
Katerra,Housing construction,https://www.crunchbase.com/organization/katerra,tried to manufacture modular housing in factories,1648,
CarbonCure Technologies,Concrete manufacturing,https://www.crunchbase.com/organization/carboncure-technologies,enables concrete manufacturers to sequester waste CO2,92,
Brimstone Energy,Concrete manufacturing,https://www.crunchbase.com/organization/brimstone-energy,makes carbon-negative cement and other concrete ingredients,55,
Boston Metal,Iron and steel manufacturing,https://www.crunchbase.com/organization/boston-metal,is decarbonizing metal production using electrolysis,332,
Electra,Iron and steel manufacturing,https://www.crunchbase.com/organization/electrasteel,is decarbonizing green steel production using renewables,113,
Sortera,Aluminum manufacturing,https://www.crunchbase.com/organization/sortera-alloys,uses computer vision to recycle scrap metal,52,
Alloy Enterprises,Aluminum manufacturing,https://www.crunchbase.com/organization/alloy-enterprises,is 3D-printing alumninum to replace casting,35,
ARRIS,Machine shops,https://www.crunchbase.com/organization/arris-composites,makes 3D-printed parts for a variety of industries,182,
Hadrian,Machine shops,https://www.crunchbase.com/organization/hadrian-caa2,manufactures precision aerospace components,99,
Legacy Platform/Steel,Structural Metal Product Manufacturing in the US 33231,https://linkedin.com/company/legacy-platform-steel-llc,makes steel platforms for industrial and construction industries,10,
IsoTruss Industries LLC,Structural Metal Product Manufacturing in the US 33231,https://www.crunchbase.com/organization/isotruss-industries-llc,makes a composite structure to replace structural steel towers,9,
Desktop Metal,"""Sheet Metal, Window & Door Manufacturing in the US 33232""",https://www.crunchbase.com/organization/desktop-metal,makes a variety of metal 3D-printing and forming machines,816,
Machina Labs,"""Sheet Metal, Window & Door Manufacturing in the US 33232""",https://www.crunchbase.com/organization/machina-labs,uses large robot arms to form sheet metal,48,
Nauticus Robotics,"""Agriculture, Construction, and Mining Machinery Manufacturing""",https://www.crunchbase.com/organization/houston-mechatronics,makes underwater robots for the marine industry,161,
Monarch Tractor,"""Agriculture, Construction, and Mining Machinery Manufacturing""",https://www.crunchbase.com/organization/monarch-tractors,makes autonomous electric tractors,81,
Dandelion Energy,"""Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing""",https://www.crunchbase.com/organization/dandelion-energy,makes software and heatpumps to provide geothermal energy,134,
Gradient,"""Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing""",https://www.crunchbase.com/organization/treau-inc,makes high-efficiency heat pumps,49,
Accion Systems,"""Engine, Turbine, and Power Transmission Equipment Manufacturing""",https://www.crunchbase.com/organization/accion-systems,makes in-space propulsion systems,68,
ClearFlame Engines,"""Engine, Turbine, and Power Transmission Equipment Manufacturing""",https://www.crunchbase.com/organization/clearflame-engines,makes low-emitting diesel engines,51,
Ampere Computing,Computer and electronic products,https://www.crunchbase.com/organization/ampere-computing,makes processors for cloud servers,854,
Cerebras Systems,Computer and electronic products,https://www.crunchbase.com/organization/cerebras-systems,develops computing chips to accelerate AI,715,
Infinitum,"""Electrical equipment, appliances, and components""",https://www.crunchbase.com/organization/infinitum-electric,makes electric motors,353,
Menlo Micro,"""Electrical equipment, appliances, and components""",https://www.crunchbase.com/organization/menlo-micro,makes an electromechanical switch for DC and RF,228,
Fisker,Motor vehicle manufacturing,https://www.crunchbase.com/organization/fisker,makes electric vehicles,1700,
Lordstown Motors,Motor vehicle manufacturing,https://www.crunchbase.com/organization/lordstown-motors,makes light-duty electric trucks,1100,
Archer,Aerospace Product and Parts Manufacturing,https://www.crunchbase.com/organization/archer-b2aa,makes an electric vertical takeoff and landing aircraft,1300,
Relativity Space,Aerospace Product and Parts Manufacturing,https://www.crunchbase.com/organization/relativity-space,makes 3D printed rockets,1300,
Romeo Power,Motor Vehicle Parts Manufacturing,https://www.crunchbase.com/organization/romeo-power,makes energy-dense battery packs for EVs,866,
Innovusion,Motor Vehicle Parts Manufacturing,https://www.crunchbase.com/organization/innovusion,develops LiDAR for autonomous vehicles,278,
Via Separations,Paper Industry,https://www.crunchbase.com/organization/via-separations,make electric processes to separate chemicals and is deploying to paper factories ,57,
Columbia Pulp,Paper Industry,https://www.crunchbase.com/organization/columbia-pulp,turns waste straw into pulp for papermaking,30,
Solugen,Combined petrochemical market,https://www.crunchbase.com/organization/solugen,makes a variety of chemicals. Solugen fits in this category and at least two others,642,
Twelve,Combined petrochemical market,https://www.crunchbase.com/organization/opus-12,"uses CO2 to create chemicals, materials, and fuels",199,
Charm Industrial,Petroleum Lubricating Oil and Grease Manufacturing,https://www.crunchbase.com/organization/charm-industrial,"makes bio-oil from ag waste, then sequesters it underground",100,
Zero Acre Farms,Petroleum Lubricating Oil and Grease Manufacturing,https://www.crunchbase.com/organization/zero-acre-farms,uses fermentation to make cooking oil,41,
Joyn Bio,"""Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing""",https://www.crunchbase.com/organization/pivot-bio,makes probiotics for plants that reduce required nitrogen fertilizer,200,
Enko Chem,"""Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing""",https://www.crunchbase.com/organization/enko-chem,"develops novel herbicides, fungicides, and pesticides",135,
Solugen,"""Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing""",https://www.crunchbase.com/organization/solugen,makes a variety of chemicals. Solugen fits in this category and at least two others,642,
Circulus,"""Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing""",https://www.crunchbase.com/organization/circulus-ef17,transforms olefin plastics into resins suitable for a range of applications,400,
Arieca,Rubber product manufacturing,https://www.crunchbase.com/organization/arieca,makes a thermally conductive rubber composite,8,
Rhino Health,Rubber product manufacturing,https://www.crunchbase.com/organization/rhino-health-3058,manufactures nitrile rubber gloves,7,
Techniplas Digital,Plastics Product Manufacturing,https://www.crunchbase.com/organization/techniplas-digital,makes plastic components for the automotive industry,57,
Novoloop,Plastics Product Manufacturing,https://www.crunchbase.com/organization/Novoloop,recycles plastics into products,26,
Merlin Labs,Air transportation,https://www.crunchbase.com/organization/merlin-labs,is building an autonomous infrastructure for the skies,133,
Aura Network Systems,Air transportation,https://www.crunchbase.com/organization/aura-network-systems,is creating a network to enable deployment of autonomous aircraft,108,
Convoy,Truck transportation,https://www.crunchbase.com/organization/convoy-3,operates a digital freight network,1091,
Project44,Truck transportation,https://www.crunchbase.com/organization/flock-freight,makes software to monitor shipments,763,
Aurora,Transit and ground passenger transportation,https://www.crunchbase.com/organization/aurora-6292,makes autonomous vehicles,3710,
Lime,Transit and ground passenger transportation,https://www.crunchbase.com/organization/limebike,operates a network of bikes and scooters,1458,
OpenAI,Software publishing,https://www.crunchbase.com/organization/openai,develops LLMs and LLM-based tools,11300,
Anthropic,Software publishing,https://www.crunchbase.com/organization/anthropic,also develops LLMs and LLM-based tools,7554,
Checkr,Legal services,https://www.crunchbase.com/organization/checkr,automates professional background checks,679,
Ironclad,Legal services,https://www.crunchbase.com/organization/ironclad,makes software to manage contracts,334,
Andela,Computer systems design and related services,https://www.crunchbase.com/organization/andela,operates a global talent network of software developers,381,
Narwhal Technologies,Computer systems design and related services,https://www.crunchbase.com/organization/narwhal-technologies,helps development team deploy Angular apps,48,
AMP Robotics,Waste management and remediation services,https://www.crunchbase.com/organization/amp-robotics,recycles mixed materials using robots,175,
RoadRunner Recycling,Waste management and remediation services,https://www.crunchbase.com/organization/roadrunner-recycling,manages commercial waste hauling,174,
Guild,Educational services,https://www.crunchbase.com/organization/guild-education,"offers classes, programs, and degrees for working adults",643,
Outschool,Educational services,https://www.crunchbase.com/organization/outschool,manages a marketplace of live classes for kids,240,
Carbon Health,Ambulatory health care services,https://www.crunchbase.com/organization/carbon-health,offers telehealth services,622,
Paradigm,Ambulatory health care services,https://www.crunchbase.com/organization/paradigm-1f96,makes software to broaden access to clinical trials,203,
Resilience,Global pharma manufacturing,https://www.crunchbase.com/organization/resilience-e701,provides biopharma manufacturing and development services,2500,
Cellares,Global pharma manufacturing,https://www.crunchbase.com/organization/cellares,develops technology to automate cell therapy manufacturing,355,
Cerevel Therapeutics,Global pharma R+D,https://www.crunchbase.com/organization/cerevel-therapeutics,develops drugs to treat neurological disorders,1895,
Insitro,Global pharma R+D,https://www.crunchbase.com/organization/insitro,discovers drugs using high-throughput bio and novel ML,643,
Altos Labs,Global pharma revenue,https://www.crunchbase.com/organization/altos-labs,develops longevity drugs using cellular reprogramming,3000,
Roivant Sciences,Global pharma revenue,https://www.crunchbase.com/organization/roivant-sciences,creates companies that develop clinical-stage drugs,2473,
Center for Breakthrough Medicines,Global CROs,https://www.crunchbase.com/organization/center-for-breakthrough-medicines,"offers dna, viral vector, and cell therapy manufacturing",350,
Zhenge Biotech,Global CROs,https://www.crunchbase.com/organization/zhenge-biotech,offers drug analytic and manufacturing services in China,235,
Cerevel Therapeutics,Small molecule therapeutics,https://www.crunchbase.com/organization/cerevel-therapeutics,develops drugs to treat neurological disorders,1895,
Idorsia,Small molecule therapeutics,https://www.crunchbase.com/organization/idorsia,"develops drugs for CNS, cardiovascular, and immunological indications",1524,
EQRx,Antibodies therapeutics,https://www.crunchbase.com/organization/eqrx,"developed multiple drugs, including the antibody sugemalimab",1900,
I-Mab Biopharma,Antibodies therapeutics,https://www.crunchbase.com/organization/i-mab-biopharma,develops antibody drugs for oncology and autoimmune disorders,815,
Abogen Biosciences,mRNA therapeutics,https://www.crunchbase.com/organization/abogen-biosciences,develops mRNA drugs for cancer and infection disease,1414,
ReCode Therapeutics,mRNA therapeutics,https://www.crunchbase.com/organization/recode-therapeutics,uses targeted LNPs to deliver drugs to specific organs,521,
Rocket Pharmaceuticals,Cell and Gene Therapies,https://www.crunchbase.com/organization/rocket-pharmaceuticals,develops gene therapies for childhood disorders,716,
Sana Biotechnology,Cell and Gene Therapies,https://www.crunchbase.com/organization/sana-biotechnology,"develops highly targetable drugs, starting with cell therapies",700,
Grail,Diagnostics,https://www.crunchbase.com/organization/grail,develops multi-cancer diagnostics,2000,
BillionToOne,Diagnostics,https://www.crunchbase.com/organization/billiontoone,develops diagnostics for pregnant moms and cancer patients,295,
EquipmentShare,SaaS,https://www.crunchbase.com/organization/equipmentshare,makes software to help construction companies manage equipment,2941,
Samsara,SaaS,https://www.crunchbase.com/organization/samsara-2,makes software and hardware to manage physical operations,930,
Attentive,Marketing software,https://www.crunchbase.com/organization/attentive,makes software for personalized mobile messaging,863,
Bakkt,Marketing software,https://www.crunchbase.com/organization/bakkt,uses crypto to help companies with marketing and loyalty programs,808,